id,feature_id,topic,granularity,value,penalty,effort,risk,priority_score,UserStoryText,acceptance_criteria
RT-S024,RT-F08,Potions,Story,13,13,2,1,23,"As a player in a tight fight, I want a hotkey that drinks a potion and heals 1 HP instantly so that I can survive the cliff moments.","GIVEN I have at least 1 potion AND HP < 17 WHEN I press Q (or the potion hotkey) THEN one potion is consumed AND HP increases by 1 with a heart-refill pulse AND the action is cancelable only if the key is released within 30ms."
RT-S025,RT-F08,Potions,Story,8,5,2,1,10,"As a player, I want the heart pips to refill with a visible animation when I drink a potion so that healing feels rewarding.","GIVEN I drink a potion WHEN HP rises by 1 THEN the next empty pip fills with a red ink-swirl over 250ms AND a gentle chime plays AND the potion count ticker decrements."
RT-S026,RT-F08,Potions,Story,8,8,2,1,13,"As a player, I want my potion count and heart count to hard-cap at 17 so that overheal does not silently waste potions.","GIVEN I have 17 HP WHEN I press the potion key THEN no potion is consumed AND a soft rejection SFX plays AND a 'cap reached' tooltip appears briefly."
RT-S027,RT-F09,HUD Feel,Story,13,8,3,1,17,"As a player, I want the HUD to be readable at all times without covering the play field so that I never lose track of my state.","GIVEN any gameplay screen WHEN the HUD renders THEN HP, Dice Tray, potion count, treasure, equipment, and current row are all visible AND none overlap the central 80% of the play area AND all labels are legible at 720p."
RT-S028,RT-F09,HUD Feel,Story,8,5,2,1,10,"As a player, I want the Dice Tray to gently animate during idle so that I can always find my eye on it.","GIVEN I am out of combat WHEN I look at the Dice Tray THEN the dice bob softly AND on combat start they rise to the top and prepare to roll AND the transition is ~300ms."
RT-S029,RT-F10,Map Overlay,Story,13,13,3,1,22,"As a router, I want to hold V to toggle a full 9x10 map overlay so that I can see my progress and plan ahead.","GIVEN I press V WHEN the overlay fades in THEN I see the full 9x10 grid AND visited cells show their ink trail AND unvisited cells are blank parchment AND releasing V fades it out in 200ms."
RT-S030,RT-F10,Map Overlay,Story,13,8,3,1,17,"As a router, I want the map overlay to show my current position clearly so that I can orient myself mid-run.","GIVEN the map overlay is open WHEN it renders THEN my current cell pulses with a green ink-ring AND the End cell glows red AND the Start cell is marked with a compass rose."
RT-S031,RT-F10,Map Overlay,Story,8,5,2,1,10,"As a player, I want the ink trail to appear on both the live view and the map overlay so that the two views are consistent.","GIVEN I have visited N cells WHEN I open the map overlay THEN the same ink trail I saw being drawn on the live view appears on the overlay AND the trail is path-correct (no stray segments)."
RT-S032,RT-F11,Reachability Warning,Story,13,13,5,2,19,"As a player, I want a reachability warning icon that pulses when my next step would strand me so that I do not lose to a surprise block.","GIVEN I stand near a move that would orphan the End cell WHEN BFS detects the stranding risk THEN a red warning icon pulses on the offending tile AND a low-pitch hum plays AND walking into the tile requires a 0.8s hold-to-confirm."
RT-S033,RT-F11,Reachability Warning,Story,8,5,3,1,9,"As an expert player, I want to disable the reachability warning in settings so that I can take the full challenge.","GIVEN I disable 'Reachability warning' in Settings WHEN I play a run THEN no icon or hold-to-confirm appears AND stranding results in an immediate DEFEAT screen."
RT-S034,RT-F12,Run Start,Story,13,13,2,1,23,"As a player, I want to start a new run in at most two clicks from the main menu so that I can get into the action fast.","GIVEN the main menu is open WHEN I click 'New Run' THEN a Normal-difficulty run loads in under 3 seconds AND the hero spawns on Start AND no tutorial walls of text appear."
RT-S035,RT-F13,Run End Victory,Story,13,8,2,1,18,"As a victorious player, I want a celebratory end-of-run screen with my stats and a share button so that I can savor the win.","GIVEN I kill Dracular and live WHEN the VICTORY banner resolves THEN a stats screen shows time, rooms visited, parries landed, HP remaining, and seed AND a Share button copies an outcome string to clipboard AND a fanfare plays."
RT-S036,RT-F14,Run End Defeat,Story,13,8,2,1,18,"As a defeated player, I want a clear YOU DIED screen with the cause and a one-click restart so that the run loop is frictionless.","GIVEN my HP reaches 0 OR I accept a stranded-dead-end WHEN the DEFEAT overlay appears THEN it names the cause (Killed by X / Stranded) AND shows run stats AND offers a one-click 'Run Again' button that reseeds and restarts."
RT-S037,RT-F15,Bestiary,Story,5,3,3,1,4,"As a collector, I want monsters to unlock in the Bestiary on first kill so that I have a collection to complete.","GIVEN I kill a monster type for the first time WHEN the kill resolves THEN a brief 'New Bestiary entry' toast appears AND the Bestiary screen now shows that monster's name, AD, ink portrait, and flavor text."
RT-S038,RT-F16,Daily Seed,Story,8,3,3,2,6,"As a competitive player, I want a Daily Seed button that runs today's shared seed so that I can compete with other players.","GIVEN the main menu is open WHEN I click 'Daily Seed' THEN a run starts using today's seed AND the seed is displayed AND Ponder mode is disabled for that run AND at end-of-run an outcome string is generated for sharing."
RT-S039,RT-F17,Settings,Story,8,5,3,1,9,"As any player, I want Settings for volume, text size, parry-window scaling, and colorblind palette so that I can tune the game to my needs.","GIVEN the Settings screen is open WHEN I change any option THEN it applies immediately AND persists across sessions AND parry window scaling offers 1.0x / 1.25x / 1.5x / 2.0x presets."
RT-S040,RT-F18,Accessibility,Story,13,8,5,2,14,"As a screen-reader user, I want every combat event and room reveal narrated in an ARIA live region so that I can play without sight.","GIVEN a screen reader is active WHEN a parry, hit, kill, pickup, room reveal, or potion drink occurs THEN an ARIA polite announcement names the event AND combat announcements are queued in order AND overwhelming bursts are coalesced."
RT-S041,RT-F18,Accessibility,Story,13,8,3,1,17,"As a low-dexterity player, I want a slow-motion toggle and auto-parry assist so that I can enjoy the combat without split-second timing.","GIVEN I enable 'Slow-mo combat' OR 'Auto-parry' in accessibility settings WHEN a telegraph fires THEN time scales to 60% OR the parry triggers automatically on a telegraph AND achievements still track normally."
RT-S042,RT-F18,Accessibility,Story,8,5,2,1,10,"As a keyboard-only player, I want full keyboard navigation across every menu and gameplay verb so that I can play without a mouse.","GIVEN I use only a keyboard WHEN I navigate menus or the Shop Shrine THEN arrow keys move focus AND Enter confirms AND Escape cancels AND focus is always visible with a high-contrast ring."
RT-S043,RT-F19,Platform,Story,13,8,5,2,14,"As a Steam Deck player, I want the game to be verified Deck-native so that I can launch and play without tweaking.","GIVEN I install on Steam Deck WHEN I launch from Game Mode THEN controls map to the default gamepad profile AND text is legible at 1280x800 AND battery drain is under 10W/h in the benchmark run."
RT-S044,RT-F19,Platform,Story,8,5,5,2,6,"As a mobile player, I want a touch-optimized control layer with an auto-parry assist so that I can play on my phone.","GIVEN I open the PWA on mobile WHEN a run starts THEN a virtual stick, a parry button, a potion button, and a map button are visible AND the auto-parry assist defaults ON AND the layout adapts to portrait and landscape."
RT-S045,RT-F19,Platform,Story,8,5,3,1,9,"As a web user, I want to install the game as a PWA so that I can play offline on laptop or mobile.","GIVEN I visit the web build WHEN I tap 'Install' or 'Add to Home Screen' THEN the PWA installs AND opens in its own window AND plays offline after first load AND saves resume across sessions."
RT-S046,RT-F20,Tutorial,Story,13,8,5,2,14,"As a new player, I want to learn the parry window through a scripted combat in the first room so that I understand Roll-and-Parry without reading text.","GIVEN I start Tutorial WHEN I meet the first orc THEN the game slows time AND an ink arrow points at the telegraph AND a single word 'PARRY' hints the key AND succeeding advances the tutorial."
RT-S047,RT-F20,Tutorial,Story,8,5,3,1,9,"As a new player, I want a routing lesson that demonstrates reachability so that I understand the block-warning system.","GIVEN the tutorial's routing stage WHEN I am given a choice of two cells THEN the stranding cell is highlighted red AND a one-line caption says 'This move would seal your exit' AND I am asked to pick the safe cell."
RT-S048,RT-F21,Save & Resume,Story,8,13,5,2,14,"As a player with limited time, I want my run to auto-save mid-run so that I can close the game and resume later.","GIVEN a run is active WHEN a room resolves OR a boss phase ends THEN state is serialized to local storage AND closing the app and reopening resumes from exactly that state AND the seed is preserved."
RT-S049,RT-F22,Cosmetics,Story,5,2,3,1,3,"As a returning player, I want to unlock cosmetic hero skins on milestones so that I have a long-term reason to replay.","GIVEN I hit a milestone (first win, 10 wins, full bestiary, daily streak) WHEN the run ends THEN a cosmetic skin unlocks AND a notification shows AND the skin is selectable from the main menu."
RT-S050,RT-F23,Input,Story,13,8,5,2,14,"As a gamepad player, I want full native gamepad support with remap so that I can play on couch or Steam Deck comfortably.","GIVEN I plug in a gamepad WHEN the game detects it THEN the HUD prompts switch to gamepad glyphs AND all verbs (move, parry, dodge, attack, potion, map, shop) bind to distinct buttons AND remapping is available in Settings."
RT-S051,RT-F23,Input,Story,8,5,2,1,10,"As a PC player, I want Parry and Potion hotkeys placed under natural left-hand rest positions so that I can use them reflexively.","GIVEN the default keybinds WHEN I play THEN Parry is Spacebar (or right-click) AND Potion is Q AND Dodge is Shift AND Map is V AND interact is E AND no two verbs share a key."
RT-S052,RT-F24,Graphics,Story,13,8,8,3,10,"As a player drawn in by the aesthetic, I want a consistent hand-drawn ink-on-parchment art style across every screen so that the game feels like a living sketchbook.","GIVEN any screen (menu, gameplay, shop, boss, end screen) WHEN it renders THEN all lines use wobbly ink strokes AND the background is tinted parchment AND fonts match (handwritten for flavor, sans for numbers) AND no screen breaks the style."
RT-S053,RT-F24,Graphics,Story,8,5,3,1,9,"As a player, I want the ink trail left by my hero to feel physically inky so that movement is its own pleasure.","GIVEN I move the hero WHEN the path leaves a trail THEN the ink has slight wobble, small pools at direction changes, and subtle bleed on the parchment AND the trail persists for the run AND is visible on the map overlay."
RT-S054,RT-F25,Audio,Story,13,8,5,2,14,"As a player, I want every core combat verb to have a signature sound so that fights are a percussive song.","GIVEN combat is active WHEN a parry lands THEN a bright *ding* plays AND a missed parry plays a dull clunk AND a monster hit plays a crunch AND dice rolling plays a wooden clatter AND these are layered with compressed dynamic range."
RT-S055,RT-F25,Audio,Story,8,5,3,1,9,"As a player, I want ambient music and room-type audio cues so that the dungeon feels alive.","GIVEN I enter a room WHEN it is revealed THEN a room-type motif plays briefly (treasure chime, potion bubble, monster growl, shop bell) AND ambient music loops softly underneath AND a mute toggle exists in Settings."
