feature_id,feature_name,category,priority,effort,description,dependencies
RT-F043,Monster - Dark Elf (AD7),content,must,S,"Ranged 3-dart fan + short teleport; purple pre-teleport glow",RT-F033
RT-F044,Monster - Skeleton Lord (AD8),content,must,M,"First phase-aware enemy; halberd sweeps + summons 2 skeleton adds",RT-F033;RT-F036
RT-F045,Monster - Wizard (AD9),content,must,M,"Three projectile casts (bolt/orb/zone); color-coded; ranged-only",RT-F033
RT-F046,Monster - Demon (AD10),content,must,M,"Pre-boss; fire cone + claw sweep + grab (3 pips); three-tell mastery",RT-F033
RT-F047,Dracular Boss FSM,ai,must,L,"3-phase boss state machine: The Count → The Bat → The Lord; 1-hit-per-phase structure",RT-F033
RT-F048,Dracular Phase 1 Moves,content,must,M,"Cape sweep (3-pip AoE), bite lunge, dark palm blast; crimson aura defence",RT-F047
RT-F049,Dracular Phase 2 Moves,content,must,M,"Dive swoops, bat-swarm zone, bite grab; aura drops at dive apex",RT-F047
RT-F050,Dracular Phase 3 Moves,content,must,M,"Shadow clone + throne Dracular; cross-arena lightning wave; clone-kill aura drop",RT-F047
RT-F051,Dracular Aura Defence,combat,must,S,"Continuous spark-conversion field representing 9 DD; only drops during key windows",RT-F047
RT-F052,Boss Arena,content,must,M,"Gothic throne hall with destructible pillars, stained-glass moonbeams, falling chandeliers",RT-F013
RT-F053,Boss Music Stinger,audio,must,S,"Multi-phase boss track with cathedral bell parry hits and phase transitions",
RT-F054,Shop Shrine Trigger,core,must,S,"Diegetic in-room shrine that opens the shop when stood on; no pause menu",RT-F015
RT-F055,Shop UI,ui,must,M,"Radial/hotbar item purchase UI with costs, slot conflicts greyed, tooltip on hover",RT-F054
RT-F056,Item Slot Exclusivity,core,must,S,"Weapon/Shield/Armour slots; purchasing a conflicting item blocks or replaces per rules",RT-F055
RT-F057,Item - Big Sword,content,must,S,"+1 AD permanent; iconic curved blade",RT-F056
RT-F058,Item - Big Axe,content,must,S,"+2 AD weapon upgrade",RT-F056
RT-F059,Item - Buckler,content,must,S,"+1 DD small shield",RT-F056
RT-F060,Item - Shield,content,must,S,"+2 DD upgrade",RT-F056
RT-F061,Item - Spiky Armour,content,must,S,"+1 AD +1 DD hybrid",RT-F056
RT-F062,Item - Magical Armour,content,must,S,"+3 DD late-game armour",RT-F056
RT-F063,Potion System,combat,must,M,"Consumable with 0.4 s drink animation; +1 pip; hotkey Q quick-use; vulnerable during drink",RT-F019;RT-F029
RT-F064,Potion Purchase Arming Delay,core,must,S,"Bought potions unusable for ~20 s after purchase (source next-turn rule); arming indicator ring",RT-F055;RT-F063
RT-F065,Treasure Pickup,core,must,S,"Auto-magnet coin pickup on kill/chest with ting SFX and arc spill",
RT-F066,Chest / Treasure Room,content,must,S,"Smashable chests rolled from treasure rooms; 2-5 gold each",RT-F065
RT-F067,Safe Room Ambience,content,should,S,"Shop-shrine rooms and rest pauses with crackling fire and soft music",RT-F054
RT-F068,Main Menu,ui,must,S,"Title, Play, Tutorial, Daily, Bestiary, Settings, Quit; parchment aesthetic",RT-F003
RT-F069,HUD - Full Layout,ui,must,M,"Hearts, dice tray, treasure counter, potion slots, equipment icons, current level tag",RT-F029;RT-F024
RT-F070,Pause Menu,ui,must,S,"ESC pause: resume, settings, abandon run, main menu; non-pausing in shop per FP-4",RT-F003
RT-F071,End-of-Run Summary,ui,must,M,"Stats screen: outcome, time, rooms visited, monsters slain, damage taken, treasure, build; shareable text",RT-F005
RT-F072,Bestiary / Codex,ui,should,M,"Unlockable per first kill; sprite, stats, lore, tells; browsable from menu",RT-F005
RT-F073,Settings Menu,ui,should,M,"Audio, video, gameplay, accessibility tabs",RT-F070
RT-F074,Run History & Stats,ui,should,M,"Per-player historical runs list with seed, outcome, duration, build",RT-F005;RT-F071
RT-F075,Tutorial Overlay,onboarding,should,M,"Contextual overlays during first run: move, parry, dodge, shop, map, potion",RT-F077
RT-F076,First-Time Tooltips,onboarding,should,S,"One-shot hints on first encounter of each feature",RT-F069
RT-F077,Tutorial Scenario,onboarding,must,M,"Scripted 3-room micro-dungeon with seeded dice guaranteeing success; teaches the four core inputs",RT-F019;RT-F033
RT-F078,Help / Reference Screen,onboarding,should,S,"Static reference: controls, monsters, items, win/lose",
RT-F079,Hand-Drawn Sprite Set,graphics,must,XL,"Ink-on-parchment style sprites: player + 11 monsters + Dracular + items + UI chrome",
RT-F080,Room Tilesets,graphics,must,L,"Dungeon tilesets with biome variants (crypt, cavern, library, throne hall); parchment palette",
RT-F081,Animation Rigging,graphics,must,M,"Skeletal/sprite animation tooling; shared anim event hooks for hit-stop, sfx, particles",RT-F079
RT-F082,VFX Library,graphics,must,M,"Sparks, blood-ink, parry flash, execution bloom, dust, fire cone, lightning wave",
RT-F083,Ambient Dungeon SFX,audio,must,M,"Footsteps, drips, ambient loops per biome, door slams, chest smashes",
RT-F084,Combat SFX,audio,must,M,"Parry ting, dodge whoosh, hit crunch, spark clang, dice clack, miss whiff, death cry",
RT-F085,Music - Title,audio,must,S,"Hand-drawn, warm acoustic title theme",
RT-F086,Music - Dungeon Ambient,audio,must,M,"Layered ambient dungeon music with tension tier for low HP",
RT-F087,Music - Boss,audio,must,M,"Multi-phase Dracular track with transitions",RT-F053
RT-F088,Cinematic - Intro,content,should,M,"Light 20 s hand-drawn intro slide sequence with narration",
RT-F089,Cinematic - Outro,content,should,M,"Victory outro on Dracular defeat; death outro variant",RT-F071
RT-F090,Bestiary Unlock,progression,should,S,"First-kill triggers unlock event; bestiary badge notification",RT-F072
RT-F091,Achievement System,progression,should,M,"Unlock tracking + steam sync hooks; 20-30 achievements",RT-F005
RT-F092,Daily Seed Mode,progression,could,M,"Shared seed per UTC day; separate leaderboard flag; shareable result string",RT-F007
RT-F093,Cosmetic Unlocks,progression,could,M,"Character skins, dice skins, dungeon palettes unlocked by feat",RT-F091
RT-F094,Difficulty Modes,progression,should,M,"Easy/Normal/Hard/Nightmare tuning tell durations, damage, boss phase length",RT-F034;RT-F047
RT-F095,Ghost Run Overlay,progression,could,L,"Daily-seed asynchronous ghost runs from other players shown as spectral paths",RT-F092
RT-F096,Screen Reader Combat Log,accessibility,should,M,"Text narration of every roll, parry, hit, and room event via OS screen reader API",RT-F024
RT-F097,Keyboard Navigation Fallback,accessibility,should,M,"Full no-mouse play: menus, shops, map",RT-F004
RT-F098,Colorblind Palettes,accessibility,should,S,"Deuteranopia / protanopia / tritanopia safe palettes for treasure/potion/monster/danger cues",
RT-F099,Text Size Options,accessibility,should,S,"Small/medium/large/XL UI text with reflow",RT-F073
RT-F100,Remappable Inputs,accessibility,should,M,"Full rebind UI across KBM, gamepad, touch",RT-F004
RT-F101,Parry Window Scaling,accessibility,should,S,"Slider 0.75x - 2x for parry/dodge windows; does not disable achievements",RT-F020
RT-F102,Slow-Motion Assist,accessibility,should,M,"Toggleable slow-mo during telegraphs up to 0.3x time scale",RT-F034
RT-F103,Subtitles & SFX Captions,accessibility,should,S,"Captions for boss barks, monster cues, important SFX",RT-F084
RT-F104,Reduced-Motion Toggle,accessibility,should,S,"Disables camera shake, slow-mo, flash effects",RT-F032
RT-F105,PC Steam Build,platform,must,M,"Windows/Mac/Linux Steam build with achievements, cloud saves",RT-F005
RT-F106,itch.io Build,platform,should,S,"Parallel itch release with DRM-free zip",RT-F105
RT-F107,Steam Deck Verified,platform,should,M,"Controller-first UI, appropriate text size, 40 W TDP target, Deck-verified submission",RT-F004;RT-F107
RT-F108,Mobile Touch Input,platform,should,L,"Touch virtual stick + gesture parry/dodge; shop tap UI; mobile HUD layout",RT-F004
RT-F109,PWA Fallback,platform,could,L,"Progressive web build with service-worker caching; playable offline",
RT-F110,Telemetry / Analytics,tools,should,S,"Opt-in anonymized event log: deaths per room, average parry rate, build popularity",
RT-F111,Crash Reporter,tools,should,S,"Sentry-style crash upload with user consent",
RT-F112,Build / CI Pipeline,tools,must,M,"Automated per-platform builds, test runner, version tagging",
RT-F113,Unit Test Harness,tools,must,S,"Tests for RNG determinism, BFS reachability, damage math, save migration",RT-F007
